tags	string	versions	US10_off_or_first	known	camel_ids
overflow	'LEFTLINK overflow=%d'	US10,US11,EU10,EU11,JP10	0x00319278	NEW-ids(LEFTLINK); known:overflow	
overflow	'objmsg (%x): overflow in object %d defno=%d FROM: defno %d'	US10,US11,EU10,EU11,JP10	0x002c7e48	exact-in-src	
overflow	'PICMENU: tex overflow'	US11,JP10	US11:0x00319e84	NEW-ids(PICMENU); known:overflow	
overflow	'PUSHPULL OBJECT: hitpoint overflow'	US11,EU11,JP10	US11:0x0031e9e0	exact-in-src	
overflow	'RIGHTLINK overflow=%d'	US10,US11,EU10,EU11,JP10	0x00319290	NEW-ids(RIGHTLINK); known:overflow	
overflow	'U PUSHPULL OBJECT: hitpoint overflow'	US10	0x0031dd8e	ids-known(OBJECT,PUSHPULL,hitpoint,overflow)	
overflow	'UPLINK overflow=%d'	US10,US11,EU10,EU11,JP10	0x0031924c	NEW-ids(UPLINK); known:overflow	
overflow	'VOXMAP: Size overflow on load->Ignoring defined voxmap'	US10,US11,EU10,EU11,JP10	0x002c3264	ids-known(Ignoring,VOXMAP,defined,overflow)	
overflow	'VOXMAP: Size overflow on object voxmap load->Ignoring defined voxmap'	US10,US11,EU10,EU11,JP10	0x002c31e8	exact-in-src	
overflow	'VOXMAPS: route nodes list overflow'	US10,US11,EU10,EU11,JP10	0x002c3160	exact-in-src	
overflow	'XPICMENU: tex overflow'	EU11	EU11:0x0031abc3	NEW-ids(XPICMENU); known:overflow	
pct_s	'  Streaming ... %s'	US10,US11,EU10,EU11,JP10	0x0032addc	exact-in-src	
pct_s	' in "%s" on line %d.'	US10,US11,EU10,EU11,JP10	0x003299a8	-	
pct_s	'%s.romlist.zlb'	US10,US11,EU10,EU11,JP10	0x002c9524	exact-in-src	
pct_s	'%s/animcurv.bin'	US10,EU10,EU11,JP10	0x002c9378	exact-in-src	
pct_s	'%s/animcurv.tab'	US10,US11,EU10,EU11,JP10	0x002c9388	exact-in-src	
pct_s	'%s/mod%d.tab'	US10,US11,EU10,EU11,JP10	0x002c93e0	exact-in-src	
pct_s	'%s/mod%d.zlb.bin'	US10,US11,EU10,EU11,JP10	0x002c93cc	exact-in-src	
pct_s	'%s/voxmap.bin'	US10,US11,EU10,EU11,JP10	0x002c9398	exact-in-src	
pct_s	'%s/voxmap.tab'	US10,US11,EU10,EU11,JP10	0x002c93bc	exact-in-src	
pct_s	'(gametext/Sequences/%d_%s.bin'	US10,JP10	0x002c6ec3	ids-known(Sequences,gametext)	
