kidx  bank     ksize   kexp | DPid  dpsize  dpexp  dpname              | match  | evidence
145   all      1952    1    | 146   1952    1                              | 8.0    | 
146   all      2320    1    | 147   2320    1                              | 8.0    | 
147   all      2336    1    | 148   2336    1                              | 8.0    | 
148   all      1984    1    | 149   1984    1                              | 8.0    | 
149   all      1120    1    | 150   1120    1                              | 8.0    | 
150   all      1536    1    | 151   1536    1                              | 8.0    | 
151   all      1488    1    | 152   1488    1                              | 8.0    | 
152   all      1536    1    | 153   1536    1                              | 8.0    | 
153   all      832     1    | 154   832     1                              | 8.0    | 
154   all      2256    1    | 155   2256    1                              | 8.0    | 
155   all      2016    1    | 156   2016    1                              | 8.0    | 
156   all      2992    1    | 157   2992    1                              | 8.0    | 
157   all      1984    1    | 158   1984    1                              | 8.0    | 
158   all      1408    1    | 159   1408    1                              | 8.0    | 
159   all      2000    1    | 160   2000    1                              | 8.0    | 
160   all      1888    1    | 161   1888    1                              | 8.0    | 
161   all      1264    1    | 162   1264    1                              | 8.0    | 
162   all      1456    1    | 163   1456    1                              | 8.0    | 
163   all      1264    1    | 164   1264    1                              | 8.0    | 
164   all      944     1    | 165   944     1                              | 8.0    | 
165   all      1568    1    | 166   1568    1                              | 8.0    | 
166   all      1264    1    | 167   1264    1                              | 8.0    | 
167   all      1776    1    | 168   1776    1                              | 8.0    | 
168   all      1264    1    | 169   1264    1                              | 8.0    | 
169   all      2592    1    | 170   2592    1                              | 8.0    | 
170   all      1728    1    | 171   1728    1                              | 8.0    | 
171   all      1776    1    | 172   1776    1                              | 8.0    | 
172   all      1648    1    | 173   1648    1                              | 8.0    | 
173   all      1696    1    | 174   1696    1                              | 8.0    | 
174   all      1856    1    | 175   1856    1                              | 8.0    | 
175   all      1648    1    | 176   1648    1                              | 8.0    | 
176   all      1712    1    | 177   1712    1                              | 8.0    | 
177   all      1680    1    | 178   1680    1                              | 8.0    | 
178   all      1744    1    | 179   1744    1                              | 8.0    | 
179   all      2592    1    | 180   2576    1                              | 8.0    | 
180   all      1440    1    | 181   1440    1                              | 8.0    | 
181   all      1920    1    | 182   1920    1                              | 8.0    | 
182   all      1376    1    | 183   1376    1                              | 8.0    | 
183   all      1536    1    | 184   1536    1                              | 8.0    | 
184   all      1536    1    | 185   1536    1                              | 8.0    | 
185   all      1408    1    | -                    KIOSK-ONLY (inserted)   |        | 
186   all      112     1    | 186   112     1                              | IDENT  | 
187   all      1472    1    | 187   1472    1                              | IDENT  | 
188   all      1200    1    | 188   1200    1                              | 8.0    | 
189   all      2448    1    | 189   2448    1                              | 8.0    | 
190   all      1328    1    | 190   1328    1                              | IDENT  | 
191   all      1216    1    | 191   1216    1                              | IDENT  | 
192   all      1728    1    | 192   1728    1                              | IDENT  | 
193   all      1104    1    | 193   1104    1                              | IDENT  | 
194   all      1296    1    | 194   1296    1                              | 8.0    | 
195   all      896     1    | 195   896     1                              | IDENT  | 
196   all      1056    1    | 196   1056    1                              | 8.0    | 
197   all      1168    1    | 197   1168    1                              | 8.0    | 
198   all      800     1    | 198   800     1                              | IDENT  | 
199   all      1456    1    | 199   1456    1                              | 8.0    | 
200   all      1312    1    | 200   1312    1                              | IDENT  | 
201   all      1296    1    | 201   1296    1                              | IDENT  | 
202   all      1312    1    | 202   1312    1                              | IDENT  | 
203   all      1328    1    | 203   1328    1                              | 8.0    | 
204   all      2576    1    | 204   2576    1                              | IDENT  | 
205   all      2464    1    | 205   2464    1                              | IDENT  | 
206   all      864     1    | 206   864     1                              | IDENT  | 
207   all      864     1    | 207   864     1                              | IDENT  | 
208   all      1040    1    | 208   1040    1                              | IDENT  | 
209   all      1264    1    | 209   1264    1                              | 8.0    | 
210   all      129968  84   | 210   129696  80     objects/210_player      | 26.8   | krystal.c
211   all      42512   27   | 211   42640   27     objects/211_Tricky      | 15.1   | 
212   all      19120   27   | 212   18976   27                             | 15.4   | 
213   all      224     7    | 213   224     7      objects/213             | IDENT  | 
214   all      1344    7    | 214   1344    7      objects/214_animobj     | 8.0    | 
215   all      23088   9    | 215   23088   9                              | 9.2    | 
216   all      17008   9    | 216   16608   9      objects/216_SnowWorm    | 13.5   | 
217   all      13024   11   | 217   12512   11     objects/217_GuardClaw   | 14.0   | 
218   all      9920    9    | 218   9920    9                              | 8.0    | 
219   all      5264    9    | 219   5264    9                              | 8.0    | 
220   all      2560    8    | 220   2560    8      objects/220_Chuka       | 8.0    | 
221   all      2288    7    | 221   2288    7      objects/221_ChukaChuck  | 8.0    | 
222   all      10752   9    | 222   10336   9      objects/222_SnowWormSmal| 15.7   | 
223   all      816     7    | 223   816     7      objects/223_cannon_claw | 8.0    | 
