path	US10_size
gametext/Sequences/20009_Japanese.bin	6040
gametext/Sequences/20009_Spanish.bin	2044
gametext/Sequences/20010_English.bin	3436
gametext/Sequences/20010_French.bin	5288
gametext/Sequences/20010_German.bin	3920
gametext/Sequences/20010_Italian.bin	3464
gametext/Sequences/20010_Japanese.bin	13312
gametext/Sequences/20010_Spanish.bin	3544
gametext/Sequences/20011_English.bin	5680
gametext/Sequences/20011_French.bin	5224
gametext/Sequences/20011_German.bin	6744
gametext/Sequences/20011_Italian.bin	4732
gametext/Sequences/20011_Japanese.bin	13252
gametext/Sequences/20011_Spanish.bin	5372
gametext/Sequences/20012_English.bin	2168
gametext/Sequences/20012_French.bin	2260
gametext/Sequences/20012_German.bin	2616
gametext/Sequences/20012_Italian.bin	1852
gametext/Sequences/20012_Japanese.bin	5680
gametext/Sequences/20012_Spanish.bin	2400
gametext/Sequences/20013_English.bin	3452
gametext/Sequences/20013_French.bin	5240
gametext/Sequences/20013_German.bin	5744
gametext/Sequences/20013_Italian.bin	3472
gametext/Sequences/20013_Japanese.bin	19412
gametext/Sequences/20013_Spanish.bin	4748
gametext/Sequences/20014_English.bin	5820
gametext/Sequences/20014_French.bin	5916
gametext/Sequences/20014_German.bin	6504
gametext/Sequences/20014_Italian.bin	6164
gametext/Sequences/20014_Japanese.bin	18132
gametext/Sequences/20014_Spanish.bin	5852
gametext/Sequences/20015_English.bin	2368
gametext/Sequences/20015_French.bin	2828
gametext/Sequences/20015_German.bin	3136
gametext/Sequences/20015_Italian.bin	2256
gametext/Sequences/20015_Japanese.bin	3028
gametext/Sequences/20015_Spanish.bin	2352
gametext/Sequences/20016_English.bin	4252
gametext/Sequences/20016_French.bin	4596
gametext/Sequences/20016_German.bin	4296
gametext/Sequences/20016_Italian.bin	3256
gametext/Sequences/20016_Japanese.bin	5784
gametext/Sequences/20016_Spanish.bin	4248
gametext/Sequences/20017_English.bin	3588
gametext/Sequences/20017_French.bin	4156
gametext/Sequences/20017_German.bin	3512
gametext/Sequences/20017_Italian.bin	3840
gametext/Sequences/20017_Japanese.bin	5232
gametext/Sequences/20017_Spanish.bin	3940
gametext/Sequences/20018_English.bin	2016
gametext/Sequences/20018_French.bin	2232
gametext/Sequences/20018_German.bin	2036
gametext/Sequences/20018_Italian.bin	1796
gametext/Sequences/20018_Japanese.bin	2320
gametext/Sequences/20018_Spanish.bin	2136
gametext/Sequences/20020_English.bin	3592
gametext/Sequences/20020_French.bin	5208
gametext/Sequences/20020_German.bin	5408
gametext/Sequences/20020_Italian.bin	4352
gametext/Sequences/20020_Japanese.bin	13412
gametext/Sequences/20020_Spanish.bin	3744
gametext/Sequences/20021_English.bin	2892
